c1_name,c2_name,c2_url,c3_sub_category_count,priority_score,is_top_20_percent
Peralatan Elektronik,Perlengkapan Elektronik Dapur,https://www.blibli.com/c2/perlengkapan-elektronik-dapur/PE-1000017,28,High,True
Home & Living,Perkakas Rumah Tangga,https://www.blibli.com/c2/perkakas-rumah-tangga/PE-1000010,17,High,True
Bliblimart,Kebutuhan Ibu & Anak,https://www.blibli.com/c2/kebutuhan-ibu-anak/KE-1000180,14,High,True
Bliblimart,Minuman,https://www.blibli.com/c2/minuman/MI-1000107,12,High,True
Kesehatan & Kecantikan,Perawatan Tubuh,https://www.blibli.com/c2/perawatan-tubuh/PE-1000099,12,High,True
Bliblimart,Perawatan Rumah Tangga,https://www.blibli.com/c2/perawatan-rumah-tangga/PE-1000640,9,High,True
Bliblimart,Sembako & Bumbu Masak,https://www.blibli.com/c2/sembako-bumbu-masak/MA-1000160,8,High,True
Kesehatan & Kecantikan,"Kesehatan Mulut & Gigi, Mata, Telinga",https://www.blibli.com/c2/kesehatan-mulut-gigi-mata-telinga/SO-1000039,7,High,True
Bliblimart,"Daging Segar, Seafood & Makanan Beku",https://www.blibli.com/c2/daging-segar-seafood-makanan-beku/DA-1000071,6,High,True
"Ticket, Vouchers & Travel",Voucher Kesehatan & Kecantikan,https://www.blibli.com/c2/voucher-kesehatan-kecantikan/VO-1000067,5,High,True
Bliblimart,Aneka Cemilan,https://www.blibli.com/c2/aneka-cemilan/AN-1000092,3,High,True
Kesehatan & Kecantikan,21+ Kesehatan Seksual,https://www.blibli.com/c2/21-kesehatan-seksual/KE-1000203,3,High,True
Bliblimart,Makanan & Minuman Halal,https://www.blibli.com/c2/makanan-minuman-halal/MA-1000330,2,High,True
Bliblimart,Sayuran & Buah - buahan,https://www.blibli.com/c2/sayuran-buah-buahan/SA-1000187,2,High,True
"Ticket, Vouchers & Travel",Kartu Uang Elektronik,https://www.blibli.com/c2/kartu-uang-elektronik/KA-1000283,1,High,True
Otomotif,Motor,https://www.blibli.com/c2/sepeda-motor/MO-1000008,44,Medium,True
Otomotif,Alat-alat Berat,https://www.blibli.com/c2/alat-alat-berat/AL-1000062,27,Medium,True
Otomotif,Aksesoris Motor,https://www.blibli.com/c2/aksesoris-motor/AK-1000072,22,Medium,True
"Mainan, Buku & Stationery",Buku,https://www.blibli.com/c2/buku/BU-1000002,21,Medium,True
Otomotif,Perawatan Kendaraan,https://www.blibli.com/c2/perawatan-kendaraan/PE-1000164,21,Medium,True
Otomotif,Suku Cadang Mobil,https://www.blibli.com/c2/suku-cadang-mobil/SU-1000014,21,Medium,True
